Beneficiary_ID,Name,Age,Gender,Mobile,Aadhaar,State,District,Village,Occupation,Monthly_Income,Annual_Income,Family_Size,BPL_Status,Ration_Card,Disability,Chronic_Disease,PMJAY_Registered,Eligible,Latitude,Longitude
BEN00001,Zashil Mandal,53,Male,2719968212,655050052120,Madhya Pradesh,Gwalior,Nanded,Tailor,32256,387072,3,No,None,No,No,Yes,No,8.921698,70.717162
BEN00002,Laban Mital,89,Male,3799547234,336890980656,Gujarat,Ahmedabad,Sri Ganganagar,Driver,57987,695844,4,No,None,No,No,No,No,28.246042,77.867265
BEN00003,Rehaan Thaman,29,Female,0285219275,705928833000,Maharashtra,Mumbai,Naihati,Student,15676,188112,6,No,None,No,No,Yes,No,11.619959,94.746566
BEN00004,Akshay Sheth,64,Male,4544504841,503014435550,Maharashtra,Aurangabad,Hyderabad,Labourer,12116,145392,1,No,None,No,No,No,Yes,19.023661,81.148899
BEN00005,Umang Dhar,63,Male,3476232440,712840989124,Uttar Pradesh,Agra,Tiruppur,Tailor,37993,455916,2,No,None,No,No,Yes,No,15.828487,94.836344
BEN00006,Daksh Pathak,25,Male,9994562616,808302588517,Uttar Pradesh,Agra,Anantapuram,Nurse,7207,86484,6,No,None,Yes,No,Yes,Yes,17.125659,87.007721
BEN00007,Mason Bahri,51,Male,1366715688,267974663989,Rajasthan,Jodhpur,Dibrugarh,Driver,35325,423900,5,No,None,No,No,Yes,No,22.776263,70.636373
BEN00008,Bhavika Mody,26,Female,4303338698,395282771728,Uttar Pradesh,Varanasi,Jhansi,Nurse,53019,636228,8,No,None,No,No,Yes,No,11.322001,93.658865
BEN00009,Sarthak Khurana,55,Female,1873015182,656795048359,Maharashtra,Mumbai,Panchkula,Student,23730,284760,8,Yes,AAY,No,No,No,No,34.466207,93.245039
BEN00010,Siya Nagarajan,37,Female,6500893479,726541280440,Gujarat,Surat,Giridih,Mechanic,24174,290088,1,No,None,No,Yes,Yes,No,16.91791,69.67983
BEN00011,Deepa D’Alia,80,Male,2927391764,931244947195,Madhya Pradesh,Gwalior,Bangalore,Homemaker,19483,233796,3,No,None,No,Yes,Yes,No,20.271,74.142148
BEN00012,Luke Johal,69,Female,0088448000,167135076022,Uttar Pradesh,Agra,Kota,Homemaker,60422,725064,8,Yes,AAY,No,No,Yes,No,14.386304,70.058799
BEN00013,Ayush Thaker,22,Female,3546451227,203897019487,Uttar Pradesh,Lucknow,Bhiwani,Electrician,12287,147444,4,Yes,PHH,No,No,Yes,No,30.753963,91.417413
BEN00014,Zaid Desai,63,Female,2810023468,219664972382,Madhya Pradesh,Jabalpur,Nizamabad,Farmer,56883,682596,8,No,None,Yes,No,Yes,Yes,19.676017,77.839776
BEN00015,Omaja Goyal,42,Female,2524649685,281403868608,Uttar Pradesh,Kanpur,Vijayanagaram,Farmer,21373,256476,7,Yes,AAY,No,No,Yes,No,26.912202,83.67705
BEN00016,Jeet Mishra,79,Male,9843183930,963268767101,Rajasthan,Ajmer,Suryapet,Teacher,55565,666780,1,Yes,PHH,Yes,No,No,Yes,20.267217,95.762212
BEN00017,Saanvi Nazareth,37,Male,8254543397,274079861243,Gujarat,Vadodara,Durgapur,Farmer,41890,502680,4,No,None,No,No,Yes,No,9.454128,81.826867
BEN00018,Onkar Din,28,Male,6452311158,559913616724,Madhya Pradesh,Ujjain,Thiruvananthapuram,Electrician,11981,143772,2,No,None,No,Yes,No,Yes,24.788653,69.152508
BEN00019,Kritika Talwar,84,Female,8583140344,108901504899,Gujarat,Bhavnagar,Bhagalpur,Retired,37179,446148,4,No,None,No,No,Yes,No,16.699915,77.169139
BEN00020,Oviya Balasubramanian,90,Male,1997030999,700581361458,Rajasthan,Udaipur,Karnal,Electrician,12602,151224,4,No,None,No,No,Yes,Yes,18.716286,72.574658
BEN00021,Balvan Tata,85,Male,2109233857,886883662637,Maharashtra,Aurangabad,Nagaon,Student,42240,506880,2,No,None,No,Yes,Yes,No,12.507989,76.170932
BEN00022,Chaitaly Tandon,51,Female,4086857033,707488057801,Maharashtra,Pune,Nagercoil,Retired,35914,430968,1,Yes,AAY,No,No,Yes,No,36.414141,72.685877
BEN00023,Vanya Dhillon,19,Male,1512311558,975885943559,Rajasthan,Udaipur,Bhatpara,Driver,12862,154344,3,No,None,No,No,Yes,No,9.213037,78.574894
BEN00024,Gauri Basu,44,Male,5121777686,992493718889,Madhya Pradesh,Indore,Ozhukarai,Driver,16473,197676,6,No,None,No,No,Yes,No,34.847151,74.865383
BEN00025,Tanvi Kata,21,Male,6730557046,342539766821,Uttar Pradesh,Varanasi,Jaunpur,Mechanic,46540,558480,7,No,None,No,No,Yes,No,28.337067,79.09371
